,url,delegacion,colonia,antiguedad,superficie construida en m2,precio total en pesos,precio de m2,precio mediano de m2 de la colonia,precio mediano de m2 de la colonia (nuevos),precio mediano de m2 de la colonia (usados),delta,semaforo
42698, http://departamento.metroscubicos.com/MLM-582123225-2-niveles-excelente-ubicacion-en-condesa-_JM,Miguel Hidalgo,ESCANDON II SECCION,7,120,6800000.0,56666.666666666664,55000.0,55151.51515151515,47456.543967280166,19.407487207110144,sobrevaluado
42700, http://departamento.metroscubicos.com/MLM-582123976-oportunidad-de-venta-47-m2-en-san-miguel-chapultepec-_JM,Miguel Hidalgo,CONDESA,10,47,1700000.0,36170.21276595745,45958.524104497716,75705.91812865497,34454.15400202634,4.980702076824116,amarillo
42723, http://departamento.metroscubicos.com/MLM-582127865-enttorno-residencial-torre-a-p1-_JM,Cuajimalpa de Morelos,AHUATENCO,no_age_info,65,3231600.0,49716.92307692308,31944.594594594593,31124.0,24444.444444444445,55.634853745602946,sobrevaluado
42751, http://departamento.metroscubicos.com/MLM-582133535-departamento-con-roof-garden-privado-_JM,Benito Jurez,ALAMOS,6,500,5750000.0,11500.0,38356.25,38446.45714285714,29736.842105263157,-61.32743362831859,subvaluado
42849, http://departamento.metroscubicos.com/MLM-582149495-departamento-en-venta-col-roma-sur-_JM,Benito Jurez,PIEDAD NARVARTE,48,173,5300000.0,30635.83815028902,48191.98508853681,50545.7097736445,38155.253837072014,-19.707418849555808,naranja
42983, http://departamento.metroscubicos.com/MLM-582173380-departamento-en-venta-en-avivia-_JM,Miguel Hidalgo,SAN GABRIEL,10,260,12155000.0,46750.0,44620.25316455696,46853.146853146856,42075.0,11.11111111111111,sobrevaluado
42996, http://departamento.metroscubicos.com/MLM-582174576-se-vende-departamento-unidad-galaxias-vallejo-_JM,Azcapotzalco,SAN BARTOLO ATEPEHUACAN,8,47,920000.0,19574.468085106382,25140.94923242661,30707.430379746835,19574.468085106382,0.0,amarillo
42999, http://departamento.metroscubicos.com/MLM-582175011-departamento-recien-remodelado-colonia-ex-hipodromo-peralvi-_JM,Cuauhtmoc,SAN SIMON TOLNAHUAC,10,67,1500000.0,22388.059701492537,22388.059701492537,,22388.059701492537,0.0,amarillo
43012, http://departamento.metroscubicos.com/MLM-582176639-espectacular-departamento-a-estrenar-en-zona-de-polanco-_JM,Miguel Hidalgo,POLANCO IV SECCION,no_age_info,130,34595000.0,266115.3846153846,102333.71739130435,109386.17924528301,72680.55555555556,160.04663115853677,sobrevaluado
43060, http://departamento.metroscubicos.com/MLM-582183286-hermoso-departamento-en-venta-para-estrenar-_JM,Benito Jurez,PIEDAD NARVARTE,no_age_info,82,4620000.0,56341.46341463415,40084.08163265306,44534.55284552845,30973.451327433628,40.558199464242165,sobrevaluado
43074, http://departamento.metroscubicos.com/MLM-582184699-ph-en-polanco-con-terraza-casi-esquina-masaryk-_JM,Miguel Hidalgo,POLANCO IV SECCION,no_age_info,280,35530000.0,126892.85714285714,102333.71739130435,109386.17924528301,72680.55555555556,23.99906929760344,sobrevaluado
43078, http://departamento.metroscubicos.com/MLM-582185263-departamento-en-miguel-hidalgo-_JM,Miguel Hidalgo,POLANCO I SECCION,no_age_info,85,1600000.0,18823.529411764706,48260.86956521739,63404.255319148935,48260.86956521739,-60.99629040805511,subvaluado
43086, http://departamento.metroscubicos.com/MLM-582186130-departamento-en-venta-pedregal-del-lago-_JM,Tlalpan,LOS FRAMBOYANOS,35,113,3800000.0,33628.318584070796,33551.44742762862,27547.169811320753,31417.11229946524,7.038222556957259,amarillo
43089, http://departamento.metroscubicos.com/MLM-582186418-departamentos-en-venta-en-condesa-_JM,Benito Jurez,PIEDAD NARVARTE,20,500,8000000.0,16000.0,40084.08163265306,44534.55284552845,30973.451327433628,-48.34285714285714,verde
43107, http://departamento.metroscubicos.com/MLM-582187246-departamento-en-nativitas-benito-juarez-ac-5032-_JM,Benito Jurez,Villa DE CORTES,no_age_info,90,1158000.0,12866.666666666666,30147.058823529413,27112.310120339316,,-57.32032520325205,subvaluado
43117, http://departamento.metroscubicos.com/MLM-582187265-departamento-en-los-angeles-iztapalapa-ac-5058-_JM,Iztapalapa,Ampl. EL SANTUARIO,no_age_info,56,968000.0,17285.714285714286,19841.26984126984,20000.0,,-12.879999999999995,naranja
43214, http://departamento.metroscubicos.com/MLM-582188303-remate-hipotecario-av-acueducto-ac-3092-_JM,Gustavo A. Madero,Residnc. ZACATENCO,30,75,1052062.0,14027.493333333334,14027.493333333334,,14027.493333333334,0.0,amarillo
43304, http://departamento.metroscubicos.com/MLM-582190090-departamento-venta-blvd-adolfo-lopez-mateos-nonoalco-_JM,Benito Jurez,SAN PEDRO DE LOS PINOS,no_age_info,69,2350000.0,34057.97101449275,36315.78947368421,37500.0,33333.333333333336,-6.2171812644402555,amarillo
43353, http://departamento.metroscubicos.com/MLM-582190951-departamento-en-venustiano-carranza-ac-5460-_JM,Iztacalco,24 DE ABRIL,no_age_info,50,938000.0,18760.0,26363.636363636364,29200.0,19750.0,-28.841379310344827,verde
